reference,nom_csv,nom_site
HX_HEID00179021N,Manche seul Mini 3000 avec Piles - Coloris Noir,Manche seul Mini 3000 avec Piles - Coloris...
HX_HEID00179021B,Manche seul Mini 3000 avec Piles - Coloris Bleu,Manche seul Mini 3000 avec Piles - Coloris...
HX_HEIF00022103,Lame laryngoscope Réutilisable FO Classic + MAC 3,Lame laryngoscope Réutilisable FO Classic...
HX_HEIF00022102,Lame laryngoscope Réutilisable FO Classic + MAC 2,Lame laryngoscope Réutilisable FO Classic...
HX_HEID88520021N,Trousse d'otoscope Mini 3000 FO à LED HQ 2.5V NO,Trousse d'otoscope Mini 3000 FO à LED HQ...
HX_HEID88520021B,Trousse d'otoscope Mini 3000 FO à LED HQ 2.5V BL,Trousse d'otoscope Mini 3000 FO à LED HQ...
HX_HEIX00799686,Batterie rechargeable LI-ION pour MPACK / MPACK LL,Batterie rechargeable LI-ION pour MPACK /...
HX_HEIM00009631,Brassard adulte large double tubulure Gamma XXL,Brassard adulte large double tubulure...
HX_HEIM00009674,Poche Petit adulte 2 tubes complet Gamma XXL LF,Poche Petit adulte 2 tubes complet Gamma...
HX_HEIX00188109,"Ampoule 2,5V pour dermatoscope mini 3000 #109","Ampoule 2,5V pour dermatoscope mini 3000"
HX_HEIB00811400,Tête Otoscope BETA 400 LED F.O.,"Otoscope Beta 400 F.O. LED Tête seule,..."
HX_HEIB14324420,Otoscope Beta 400 F.O. LED avec chargeur de table NT4,Otoscope Beta 400 F.O. LED avec chargeur...
HX_HEIX00799396,Poignée complète + Batterie Li-ion et Culos BET,Poignée rechargeable Li-ion Beta 4 USB et...
HX_HEIB24420420,Coffret ORL BETA 100 (3 Spéc.+1 Porte Ab-Lang.+1,Coffret ORL BETA 100 (3 Spéc.+1 Porte...
HX_HEIX00299494,Chargeur NT 4,Poignée rechargeable Li-ion Beta 4 USB et...
HX_HEID29421444,Trousse de diagnostic combinées Alpha+ Otoscope et Ophtalmoscope,Trousse de diagnostic combinées Alpha+...
HX_HEIZ17702,Rondelle pour mini 2000 conventionnel 3 pièces,Rondelle pour mini 2000 conventionnel 3...
HX_HEIM00009945,0 P.OLIVES GRANDES/SOUPLES 5MM,Olives grandes/souples 5 mm
HX_HEIB00111400,Tête Otoscope Beta 400 F.O.,Otoscope Beta 400 F.O.
HX_HEID00871105N,Tête ophtalmoscope mini 3000 à LED - Noir,Ophtalmoscope mini 3000 - LED - Noir
HX_HEID00871200,Ophtalmoscope Mini 3000 Led sur poignée recharge,Ophtalmoscope Mini 3000 Led sur poignée...
HX_HEID00873109,Mini-c,Lampe d'examen portable à clip Mini C Noir.
HX_HEIF00022313,Lame de laryngoscope HEINE FlexTip+ à F.O Mac 3,Lame de laryngoscope HEINE FlexTip+ à F.O...
HX_HEIM00009625,Brassard  grand adulte double tubulure Gamma XXL,Brassard  grand adulte double tubulure...
HX_HEIM00009701,Brassard petit enfant double tubulure Gamma XXL,Brassard petit enfant double tubulure...
HX_HEIF00822894,Poignée de laryngoscope Standard F.O. 4 LED NT,Poignée de laryngoscope Standard F.O. 4...
HX_HEIK00034270,Adaptateur smartphone universel pour Delta 30 et Delta One,Adaptateur smartphone universel pour Delta...
HX_HEIM00009615,Brassard Grand adulte Ø > 41 cm Gamma G7/G5/GP,Brassard Grand adulte Ø  41 cm Gamma...
HX_HEIM00009705,Brassard petit adulte double tubulure Gamma XXL,Brassard petit adulte double tubulure...
HX_HEIB23700000,Etui souple pour otoscopes - Avec fermeture éclair,Etui souple pour otoscopes - Avec...
HX_HEIB00011306,Adaptateur pour spéculums à usage unique Allspec,Adaptateur pour spéculums à usage unique...
HX_HEIB00011242,"Spéculums usage unique enfant UniSpec gris 2,5mm - Carton de 1000",Spéculums usage unique enfant UniSpec gris...
HX_HEIB00011221,Spéculums Baïonnette Réutilisables - Jeu de 5 spéculums auriculaires + 1 spéculum nasal,Spéculums Baïonnette Réutilisables - Jeu...
HX_HER421414,Table de lit avec piètement 3 positions Diffusion,Table de lit avec piètement 3 positions...
HX_HER421514,Table spéciale pour fauteuil releveur Diffusion,Table spéciale pour fauteuil releveur...
HX_HER421118,Tablette de lit inclinable avec 2 plateaux Twin Easy,Tablette de lit inclinable avec 2 plateaux...
HX_FRAEDA031,Papier ECG Edan SE 300B + SE 301,Oxymètre de pouls professionnel Edan H100B
HX_OWE7224501,Bandelettes de cétonémie pour lecteur Freestyle NEO H,Bandelettes de cétonémie pour lecteur...
HX_FRIGLATPFXL,Gants d'examen latex non poudrés - XL - 9/10 - Boîte de 100,Gants d'examen latex non poudrés - XL -...
HX_GIL612731,Alcool à 70° 250 ml,Alcool à 70° vol. 250 ml. (Présenté.)
HX_GIL606768,Cold cream tube de 50 ml,Cold cream Tube de 50ml.
HX_GIL621714,"Spray chlorhexidine désinfectant 0,5 % Septimyl","Spray chlorhexidine désinfectant 0,5 %..."
HX_GIL612874,Sérum physiologique stérile 5 ml,Sérum physiologique stérile La boite de...
HX_GIL612870,Solution sans rinçage flacon de 500 ml,Solution nettoyante sans rinçage Le flacon...
HX_GIL621715,"Chlorhexidine aqueuse à 0,5 % Septimyl unidose 5","Chlorhexidine aqueuse à 0,5 % Septimyl..."
HX_GLOJ294LMR,Rouleaux de draps lisses blancs - Pure ouate pour examen - 70 x 35 cm,Rouleaux de draps lisses blancs - Pure...
HX_GLOLH04AOP,Distributeur pour essuie-mains à dévidage central,Distributeur pour essuie-mains à dévidage...
HX_GLOJ266GSM,Rouleaux de draps d'examen plastifiés bleus - 50 x 38 cm,Rouleaux de draps d'examen plastifiés...
HX_GLOLH29ATR,Distributeur à découpe automatique pour essuie-mains,Distributeur à découpe automatique pour...
HX_DISHIJAMESTL,Pèse-personne impédancemètre James - Turquoise,Pèse-personne impédancemètre James -...
HX_HAR413004,Pansement RespoSorb® Silicone Border 16 x 26 cm,Pansement RespoSorb® Silicone Border 16 x...
HX_HAR413003,Pansement RespoSorb® Silicone Border 15 x 15 cm,Pansement RespoSorb® Silicone Border 15 x...
HX_HAR413042,"Pansements RespoSorb® Silicone - 12,5 x 12,5 cm","Pansements RespoSorb® Silicone - 12,5 x..."
HX_HAR413022,"Pansement RespoSorb® Silicone Border 17,5 x 17,5 cm","Pansement RespoSorb® Silicone Border 17,5..."
HX_HAR413010,Pansement RespoSorb® Silicone Border 25 x 25 cm,Pansement RespoSorb® Silicone Border 25 x...
HX_HAR413009,Pansement RespoSorb® Silicone Border 12 x 23 cm,Pansement RespoSorb® Silicone Border 12 x...
HX_HAR413008,"Pansement RespoSorb® Silicone Border 13 x 15,5 cm",Pansement RespoSorb® Silicone Border 13 x...
HX_HAR413007,Pansement RespoSorb® Silicone Border 23 x 23 cm,Pansement RespoSorb® Silicone Border 23 x...
HX_HAR413006,Pansement RespoSorb® Silicone Border 18 x 18 cm,Pansement RespoSorb® Silicone Border 18 x...
HX_HAR413005,Pansement RespoSorb® Silicone Border 20 x 20 cm,Pansement RespoSorb® Silicone Border 20 x...
HX_HAR413002,"Pansement RespoSorb® Silicone Border 12,5 x 12,5 cm","Pansement RespoSorb® Silicone Border 12,5..."
HX_HAR413001,Pansement RespoSorb® Silicone Border 10 x 10 cm,Pansement RespoSorb® Silicone Border 10 x...
HX_HAR413654,Pansement absorbant Zetuvit Stérile 20 x 25 cm,Pansement RespoSorb® Silicone Border 16 x...
HX_BSN7236001,Sparadrap tissé acétate à l’oxyde de zinc Leukoplast S LF 5 m x 2 cm,Sparadrap tissé acétate à l’oxyde de zinc...
HX_FARFAR3520BOX,Ensemble de secours universel Farbox 10/20 pers,Ensemble de secours universel Farbox 10/20...
HX_DUPSA2112600,Tabouret de douche avec assise tournante Tahaa,Tabouret de douche avec assise tournante...
HX_HAR479139,Set de pose sur voie veineuse périphérique avec perfuseur 3 voies - Médiset,Set de pose sur voie veineuse périphérique...
HX_HAR478922,"Set pour pose sur voie veineuse périphérique """"veines fragiles""""",Set pour pose sur voie veineuse...
HX_HAR478913,Set pour débranchement de perfusion toutes voies d'abord MediSet®,Set pour débranchement de perfusion toutes...
HX_HAR478912,Set pour branchement toutes voies d'abord MediSet®,Set pour branchement toutes voies d'abord...
HX_HAR478911,Sets de soins pour pose de perfusion MediSet®,Sets de soins pour pose de perfusion...
HX_HAR413652,Pansement absorbant Zetuvit Stérile 10 x 20 cm,"Pansement RespoSorb® Silicone Border 12,5..."
HX_HAR413651,Pansement absorbant Zetuvit Stérile 10 x 10 cm,Pansement RespoSorb® Silicone Border 10 x...
HX_HAR685024,Pansement superabsorbant stérile non adhérent RespoSorb Super 20 x 40 cm,Pansement superabsorbant stérile non...
HX_HAR685023,Pansement superabsorbant stérile non adhérent RespoSorb Super 20 x 25 cm,Pansement superabsorbant stérile non...
HX_HAR685022,Pansement superabsorbant stérile non adhérent RespoSorb Super 15 x 20 cm,Pansement superabsorbant stérile non...
HX_HAR685021,Pansement superabsorbant stérile non adhérent RespoSorb Super 10 x 20 cm,Pansement superabsorbant stérile non...
HX_HAR609609,Pansement irrigo-absorbant HydroClean Advance  Mini rond 3 cm diam.,Pansement plaies suturées avec agrafes...
HX_HAR609166,"Pansement irrigo-absorbant HydroClean Advance Cavity rond 5,5 cm diam.",Pansement hydrocellulaire Cosmopor®...
HX_HAR609162,Pansement irrigo-absorbant HydroClean Advance Cavity rond 4 cm diam.,Pansement Méchage - MediSet®
HX_HAR499354,Pansement gras Grassolind® neutral - Spécial collectivités,Pansement gras Grassolind® neutral -...
HX_HER500300,Réhausse WC Ergonomique Contact Plus 11 cm avec abattant,Réhausse WC Ergonomique Contact Plus 11 cm...
HX_HER500200N,Réhausse WC Ergonomique Contact Plus 11 cm sans abattant,Réhausse WC Ergonomique Contact Plus 11 cm...
HX_HEXL204NPXL,Gants d'examen latex non poudrés HexaGants - XL - 9/10 - Boîte de 100,Gants d'examen latex non poudrés HexaGants...
HX_HEXL203NPL,Gants d'examen latex non poudrés HexaGants - L - 8/9 - Boîte de 100,Gants d'examen latex non poudrés HexaGants...
HX_HEX101173-01,Gants de toilette à usage unique - Sachet de 50,Gants de toilette à usage unique - Sachet...
HX_HEXBASIL2M19A,Fauteuil releveur 2 moteurs Basil PU imitation cuir galet,Fauteuil releveur 2 moteurs Basil PU...
HX_HEXBASIL2M08A,Fauteuil releveur 2 moteurs Basil PU imitation cuir crème,Fauteuil releveur 2 moteurs Basil PU...
HX_HEXJ225LVM,Rouleaux de draps d'examen Extrafort Hexadraps - 50 x 38 cm,Rouleaux de draps d'examen Extrafort...
HX_HEXGEORGES2M12Z,Fauteuil releveur 2 moteurs Georges Velours maille Brun,Fauteuil releveur 2 moteurs Georges...
HX_HEXGEORGES2M08Z,Fauteuil releveur 2 moteurs Georges Velours maille Moutarde,Fauteuil releveur 2 moteurs Georges...
HX_HEXCD25,Chaise de douche rectangulaire avec découpe intime AquaCurve,Chaise de douche rectangulaire avec...
HX_HEXGEORGES2M17Z,Fauteuil releveur 2 moteurs Georges Velours maille Vert de gris,Fauteuil releveur 2 moteurs Georges...
HX_HEXGEORGES2M16Z,Fauteuil releveur 2 moteurs Georges Velours maille Gris,Fauteuil releveur 2 moteurs Georges...
HX_HEXLRESPWHEELS,Roues fauteuil releveur Emile/Marcel,Casque TV sans fil TV3500
HX_HEXV303PL,Gants d'examen vinyle poudrés HexaGants - L - 8/9 - Boîte de 100,Gants d'examen vinyle poudrés HexaGants -...
HX_HEXV302PM,Gants d'examen vinyle poudrés HexaGants - M - 7/8 - Boîte de 100,Gants d'examen vinyle poudrés HexaGants -...
HX_HEXV404NPXL,Gants d'examen vinyle non poudrés HexaGants - XL - 9/10 - Boîte de 100,Gants d'examen vinyle non poudrés...
HX_HEXV403NPL,Gants d'examen vinyle non poudrés HexaGants - L - 8/9 - Boîte de 100,Gants d'examen vinyle non poudrés...
HX_HEXV402NPM,Gants d'examen vinyle non poudrés HexaGants - M - 7/8 - Boîte de 100,Gants d'examen vinyle non poudrés...
HX_HEXV401NPS,Gants d'examen vinyle non poudrés HexaGants - S - 6/7 - Boîte de 100,Gants d'examen vinyle non poudrés...
HX_HEXV304PXL,Gants d'examen vinyle poudrés HexaGants - XL - 9/10 - Boîte de 100,Gants d'examen vinyle poudrés HexaGants -...
HX_HEXV301PS,Gants d'examen vinyle poudrés HexaGants - S - 6/7 - Boîte de 100,Gants d'examen vinyle poudrés HexaGants -...
HX_HEXTD25,Tabouret rectangulaire avec découpe intime AquaClean,Tabouret rectangulaire avec découpe intime...
HX_HEXSPTRANSFO,Transformateur + cable fauteuil releveur Basil/Georges,Protège matelas imperméable et respirant...
HX_HEXSPSPRING,Ressort pour fauteuil releveur Basil/Georges,Désodorisant surpuissant Sauvageon King
HX_HEXSPREMOTE,Télécommande fauteuil releveur Basil/Georges,"Seringues 3 pièces - 2,5 ml - Luer Lock..."
HX_HEXSPFTRM,Vérin repose-pieds fauteuil releveur Basil/Georges,HEXAform Maxi - Sachet de 20
HX_HEXSPBKRM,Vérin pour dossier fauteuil releveur Basil/Georges,HEXAform Maxi - Sachet de 20
HX_HEXPP25,Mini pédalier avec compteur électrique - PedalFit +,Mini pédalier avec compteur électrique -...
HX_HEXN504NPXL,Gants d'examen nitrile non poudrés HexaGants - XL - 9/10 - Boîte de 100,Gants d'examen nitrile non poudrés...
HX_HEXN503NPL,Gants d'examen nitrile non poudrés HexaGants - L - 8/9 - Boîte de 100,Gants d'examen nitrile non poudrés...
HX_HEXL202NPM,Gants d'examen latex non poudrés Hexa - Taille M,Gants d'examen latex non poudrés Hexa -...
HX_HEXJ226PVM,Rouleaux de draps d'examen Confort gaufrés et ouatés Hexadraps - 50 x 35 cm,Rouleaux de draps d'examen Confort gaufrés...
HX_HEXLRESPSPRING,Set de ressorts fauteuil releveur Emile/Marcel,Casque TV sans fil TV3500
HX_HEXN502NPM,Gants d'examen nitrile non poudrés HexaGants - M - 7/8 - Boîte de 100,Gants d'examen nitrile non poudrés...
HX_HEXN501NPS,Gants d'examen nitrile non poudrés HexaGants - S - 6/7 - Boîte de 100,Gants d'examen nitrile non poudrés...
HX_HOLCPCURE01,Curettes dermatologiques stériles 2 mm,Curette dermatologique à usage unique...
HX_SIS081107572,"Tapis de bain everyday Homecraft 94,5 x 35 cm Blanc","Tapis de bain everyday Homecraft 94,5 x 35..."
HX_IDD81341430,Alèses jetables - Super - 60 x 90 cm - iD Protect,Alèses jetables - Super - 60 x 90 cm - iD...
HX_ID553136514001,iD Pants - Plus - L,iD Pants - Plus - XL
HX_ID553126514002,iD Pants - Plus - M,iD Pants - Plus - XL
HX_ID5171055101,iD Light Advanced Discreet Protection Féminine - Maxi,iD Discreet Light Advanced Protection...
HX_ID5630175140,iD Slip - Super - S,iD Slip - Super - XXL
HX_ID59156020280,ID Rectangular Insert Inraversable Maxi + - Couches droites intraversables,ID Rectangular Insert Inraversable Maxi +...
HX_ID5410600030T,iD Care Net Pants / Boxers - Comfort Super - XXXL,iD Care Net Pants / Boxers - Comfort Super...
HX_ID5410500050T,iD Care Net Pants / Boxers - Comfort Super - XXL,iD Care Net Pants / Boxers - Comfort Super...
HX_ID5410200050T,iD Care Net Pants / Boxers - Comfort Super - M,iD Care Net Pants / Boxers - Comfort Super...
HX_ID5410300050T,iD Care Net Pants / Boxers - Comfort Super - L,iD Care Net Pants / Boxers - Comfort Super...
HX_ID5410400050T,iD Care Net Pants / Boxers - Comfort Super - XL,iD Care Net Pants / Boxers - Comfort Super...
HX_ONT35106003000,Gants de toilette plastifiés imperméables à usage unique - Serenity Care,Gants de toilette plastifiés imperméables...
HX_ID59361100280,ID Rectangular Insert Traversable Mini - Couches droites traversables,ID Rectangular Insert Traversable Mini -...
HX_ID59156000280,ID Rectangular Insert Traversable Maxi + - Couches droites traversables,ID Rectangular Insert Traversable Maxi + -...
HX_IDE813023,Cuillère à soupe caoutchouc Goodgrip Standards,Cuillère à soupe caoutchouc Goodgrip...
HX_IDE835158,Coussin chauffant avec des noyaux de cerises -  30 x 20 cm,Coussin chauffant avec des noyaux de...
HX_IDE835157,Coussin de nuque chauffant avec des noyaux de cerises,Coussin de nuque chauffant avec des noyaux...
HX_DIDPER1FL25,Perfuseur 1 voie Gravity 5.5 sans DEHP sans BPA,Perfuseur 1 voie Gravity 5.5 sans DEHP...
HX_DIDPER3YFL25BPAF,Perfuseur 3 voies Gravity 5.5 site Y sans DEHP sans BPA,Perfuseur 3 voies Gravity 5.5 site Y sans...
HX_INP3760371010950,Taie d'oreiller pour oreiller papillon Multi-positions,Taie d’Oreiller Cervical Confort Plus en...
HX_INP3760371010431,Oreiller Papillon Ergonomique à Mémoire de Forme Plat Moelleux,Oreiller Papillon Ergonomique à Mémoire de...
HX_INP3760371010554,Taie d’Oreiller Cervical Confort Plus en Bambou,Taie d’Oreiller Cervical Confort Plus en...
HX_INP3760371010943,Oreiller Rafraîchissant Papillon - Multi-Positions Pure,Oreiller Rafraîchissant Papillon -...
HX_DIDSCD45,Bicaromes comprimés effervescents bicarbonate - Menthol,Bicaromes comprimés effervescents...
HX_DIDSCD85,Bicaromes comprimés efferverscents bicarbonate - Fraise,Bicaromes comprimés efferverscents...
HX_DIDC105P,Batonnet soin de bouche à usage unique - Mousse étoile,Batonnet soin de bouche à usage unique -...
HX_INT8202,Sac à ouverture soluble transparent 71 x 76 cm,Sac à ouverture soluble transparent 71 x...
HX_INT8207,"Sac rouge hydrosoluble à l'eau chaude, 660 x 840mm","Sac rouge hydrosoluble à l'eau chaude, 660..."
HX_INT5001,"Sac lien coulissant pour Dasri 20 L, 450 x 450 mm, 19 microns - Le carton de 500 sacs","Sac lien coulissant pour Dasri 20 L, 450 x..."
HX_INT5002,"Sac lien coulissant pour Dasri 30 L, 500 x 650 mm, 20 microns - Le carton de 500.","Sac lien coulissant pour Dasri 30 L, 500 x..."
HX_INT5003,"Sac lien coulissant pour Dasri 50 L, 680 x 750 mm, 23 microns - Le carton de 500.","Sac lien coulissant pour Dasri 50 L, 680 x..."
HX_INVAP1440970,Paire de roulettes anti-bascule Action 2NG et 3NG S,Paire de roulettes anti-bascule Action 2NG...
HX_INV1573692,Paire de relève-jambes complet Action 2NG et 3NG S,Paire de relève-jambes complet Action 2NG...
HX_MAEVICTORCHOCO1M,Fauteuil releveur Extra Confort Victor - Tissu/PVC Chocolat - 1 moteur,Fauteuil releveur Extra Confort Victor -...
HX_MAEVICTORGRIS2M,Fauteuil releveur Extra Confort Victor - Tissu/PVC Gris - 2 moteurs,Fauteuil releveur Extra Confort Victor -...
HX_MAEVICTORCHOCO2M,Fauteuil releveur Extra Confort Victor - Tissu/PVC Chocolat - 2 moteurs,Fauteuil releveur Extra Confort Victor -...
HX_MAEMAX1M,Fauteuil releveur confort Max - Tissu Népal Vison -1 Moteur,Fauteuil releveur confort Max - Tissu...
HX_MAEVICTORGRIS1M,Fauteuil releveur Extra Confort Victor - Tissu/PVC Gris - 1 moteur,Fauteuil releveur Extra Confort Victor -...
HX_MAEMAX2M,Fauteuil releveur confort Max - Tissu Népal Vison - 2 Moteurs,Fauteuil releveur confort Max - Tissu...
HX_SICA16868,Brume purifiante aux 10 huiles essentielles - 75 ml,Brume purifiante aux 10 huiles...
HX_SICA21902,Desinfectant détergent dégraissant multi-usage Flash'Germ,Desinfectant détergent dégraissant...
HX_SICA21324,Détergent détartrant désinfectant sans parfum multi-usages.,Détergent détartrant désinfectant sans...
HX_SICA21901,Desinfectant détergent dégraissant multi-usage Flash'Germ,Desinfectant détergent dégraissant...
HX_SICA13293,Brume purifiante aux 10 huiles essentielles - 100 ml,Brume purifiante aux 10 huiles...
HX_SICA16274,"Fogger antiparasite (sarcopte gale, punaises lit) - King - 150 ml","Fogger antiparasite (sarcopte gale,..."
HX_SICA08800,Détergent désinfectant surodorant 3D Desodor U2,Détergent désinfectant surodorant 3D...
HX_LATLTFMAX001,Tablette multifonctions pour fauteuil releveur et canapé,Tablette multifonctions pour fauteuil...
HX_ACT6201,Actipur détartrant désinfectant prêt à l'emploi pour sanitaires,Actipur détartrant désinfectant prêt à...
HX_ACT6206,Actipur nettoyant désinfectant multi-surfaces prêt à l'emploi 5L,Actipur nettoyant désinfectant...
HX_ACT6204,Actipur nettoyant désinfectant multi-surfaces concentré,Actipur nettoyant désinfectant...
HX_ACT4240,Nettoyant capteur concentré Clean Safe 5 litres,Nettoyant capteur concentré Clean Safe 5...
HX_3MST6241,Stéthoscope Cardiology IV - Rainbow Brillant Edition - Double pavillon - Framboise,Stéthoscope Cardiology IV - Rainbow...
HX_3MST6154B,Stéthoscope Cardiology IV - Double pavillon - Marine,Stéthoscope Cardiology IV - Double...
HX_3M40012,Kit pièces détachées stéthoscope Classic II Pédiatrique,Kit pièces détachées stéthoscope Classic...
HX_3M40011,Kit pièces détachées stéthoscope Master cardio - Noir,Kit pièces détachées stéthoscope Master...
HX_3M40006,Kit pièces détachées stéthoscope - Classic II S.E - Gris,Kit pièces détachées stéthoscope - Classic...
HX_3M40005,Kit pièces détachées stéthoscope - Classic II SE - Noir,Kit pièces détachées stéthoscope - Classic...
HX_3MST6158F,Stéthoscope Cardiology IV - Double pavillon - Framboise,Stéthoscope Cardiology IV - Double...
HX_3MST6156P,Stéthoscope Cardiology IV - Double pavillon - Prune,Stéthoscope Cardiology IV - Double...
HX_3MST2161B,Stéthoscope Master Cardiology - Black Edition - Simple pavillon - Noir,Stéthoscope Master Cardiology - Black...
HX_3MST2114N,Stéthoscope Classic II - Nouveau-né - Double pavillon - Noir,Stéthoscope Classic II - Nouveau-né -...
HX_3MST2119C,Stéthoscope Classic II - Pédiatrique - Double pavillon - Bleu Caraïbes,Stéthoscope Classic II - Pédiatrique -...
HX_3MST2113N,Stéthoscope Classic II - Pédiatrique - Double pavillon - Noir,Stéthoscope Classic II - Pédiatrique -...
HX_3MST5809CH,"Stéthoscope Classic III, Chocolat, Edition Cuivre","Stéthoscope Classic III, Chocolat, Edition..."
HX_3MST5831P,Stéthoscope Classic III - Double pavillon - Prune,Stéthoscope Classic III - Double pavillon...
HX_3MST5623C,Stéthoscope Classic III - Double pavillon - Bleu Caraïbes.,Stéthoscope Classic III - Double pavillon...
HX_3MST5622B,Stéthoscope Classic III - Double pavillon - Bleu marine,Stéthoscope Classic III - Double pavillon...
HX_3MST5627B,Stéthoscope Classic III - Double pavillon - Bordeaux,Stéthoscope Classic III - Double pavillon...
HX_3MST5620N,Stéthoscope Classic III - Double pavillon - Noir,Stéthoscope Classic III - Double pavillon...
HX_3MST5835T,Stéthoscope Classic III - Double pavillon - Turquoise,Stéthoscope Classic III - Double pavillon...
HX_3MST6152N,Stéthoscope Cardiology IV - Double pavillon - Noir,Stéthoscope Cardiology IV - Double...
HX_3MST2167P,Stéthoscope Master Cardiology - Simple pavillon - Prune,Stéthoscope Master Cardiology - Simple...
HX_3MST2164N,Stéthoscope Master Cardiology - Simple pavillon - Marine,Stéthoscope Master Cardiology - Simple...
HX_3MST2456R,Stéthoscope Lightweight II SE - Double pavillon - Rose nacré,Stéthoscope Lightweight II SE - Double...
HX_3MST2454B,Stéthoscope Lightweight II SE - Double pavillon - Bleu ciel,Stéthoscope Lightweight II SE - Double...
HX_3MST2452C,Stéthoscope Lightweight II SE - Double pavillon - Bleu Caraïbes,Stéthoscope Lightweight II SE - Double...
HX_3MST2451B,Stéthoscope Lightweight II SE - Double pavillon - Bordeaux,Stéthoscope Lightweight II SE - Double...
HX_3MST2450N,Stéthoscope Lightweight II SE - Double pavillon - Noir,Stéthoscope Lightweight II SE - Double...
HX_3MST2175LE,Stéthoscope Master Cardiology - Simple pavillon - Edition Laiton - Noir,Stéthoscope Master Cardiology - Simple...
HX_3MST2160N,Stéthoscope Master Cardiology - Simple pavillon - Noir,Stéthoscope Master Cardiology - Simple...
HX_3MBAGGP25,Bague plastique noire pour Classic II nouveau-né,Bague plastique noire pour Classic II...
HX_3M7100119681,Stéthoscope Classic III - Smoke Edition - Double pavillon - Bordeaux,Stéthoscope Classic III - Smoke Edition -...
HX_3MST5806RA,Stéthoscope Classic III - Edition Rainbow - Double pavillon - Framboise,Stéthoscope Classic III - Edition Rainbow...
HX_3MST5807RA,Stéthoscope Classic III - Edition Rainbow - Double pavillon - Bleu Caraïbes,Stéthoscope Classic III - Edition Rainbow...
HX_3MST2153RA,Stéthoscope Classic II - Pédiatrique - Rainbow Edition - Double pavillon - Bleu Caraïbes,Stéthoscope Classic II - Pédiatrique -...
HX_3MST2157RA,Stéthoscope Classic II - Nouveau-né - Rainbow Edition - Double pavillon - Framboise,Stéthoscope Classic II - Nouveau-né -...
HX_3MST2113R,Stéthoscope Classic II - Pédiatrique - Double pavillon - Rouge,Stéthoscope Classic II - Pédiatrique -...
HX_3M40023,Kit pièces détachées stétho Master Classic II gris,Kit pièces détachées stétho Master Classic...
HX_3MST6163NB,Stéthoscope Cardiology IV - Black Edition - Double pavillon - Noir,Stéthoscope Cardiology IV - Black Edition...
HX_3MST2122F,Stéthoscope Classic II - Pédiatrique - Double pavillon - Framboise,Stéthoscope Classic II - Pédiatrique -...
HX_3MBAGPREG,Bague plastique grise pour Classic II nouveau-né,Bague plastique grise pour Classic II...
HX_3MST5811N,Stéthoscope Classic III - Smoke Edition - Double pavillon - Noir,Stéthoscope Classic III - Smoke Edition -...
HX_3MST5861NC,Stéthoscope Classic III - Edition Champagne - Double pavillon - Noir,Stéthoscope Classic III - Edition...
HX_3MST5621G,Stéthoscope Classic III - Double pavillon - Gris,Stéthoscope Classic III - Double pavillon...
HX_3MST5870NR,Stéthoscope Classic III - Edition Rainbow - Double pavillon - Noir,Stéthoscope Classic III - Edition Rainbow...
HX_3MST8869,Stéthoscope numérique Littmann Core - Edition Miroir - Double pavillon - Noir,Stéthoscope numérique Littmann Core -...
HX_3MST8572,Stéthoscope numérique Littmann Core - Edition Rainbow brillant - Double pavillon - Noir,Stéthoscope numérique Littmann Core -...
HX_3MST8490,Stéthoscope numérique Littmann Core - Double pavillon - Noir,Stéthoscope numérique Littmann Core -...
HX_3MST6170,Stéthoscope Cardiology IV - Edition Miroir - Double pavillon - Bordeaux,Stéthoscope Cardiology IV - Edition Miroir...
HX_3MST6190CC,Stéthoscope Cardiology IV - Edition Champagne - Double pavillon - Bleu Caraïbes,Stéthoscope Cardiology IV - Edition...
HX_3MST5648F,Stéthoscope Classic III - Double pavillon - Framboise,Stéthoscope Classic III - Double pavillon...
HX_GLOJ219L,Rouleaux de draps d’examen blancs ouatés lisses recyclés Ecolabel - 50 x 35 cm,Rouleaux de draps d’examen blancs ouatés...
HX_GLOJ126GMR,Rouleaux de draps d’examen blancs monocouches gaufrés One Ply - 50 x 35 cm,Rouleaux de draps d’examen blancs...
HX_GLOJ222PMR,Rouleaux de draps d’examen blancs ouatés gaufrés Confort - 50 x 35 cm,Rouleaux de draps d’examen blancs ouatés...
HX_GLOJ280LMR,Rouleaux de draps lisses blancs - Pure ouate pour examen - 50 x 190 cm,Rouleaux de draps lisses blancs - Pure...
HX_GLOJ309LMR,Rouleaux de draps d'examen Maxi Compact - 50 x 35 cm,Rouleaux de draps d'examen Maxi Compact -...
HX_GLOJ224LSM,Rouleaux de draps d'examen blancs lisses - 50 x 38 cm,Rouleaux de draps d'examen blancs lisses -...
HX_GLOJ331PNT,Rouleaux de draps gaufrés pour table d'examen - 60 x 35 cm,Rouleaux de draps gaufrés pour table...
HX_MKLLS1,Lait hydratant Corps & Mains Lait d'Anesse BIO 200 ml,Savon solide au lait d'ânesse Bio neutre
HX_MKLTDM103,TESTEUR Crème famille BIO 100 ml AQUA,Crème famille Dermo-Hydratante BIO 100ml Aqua
HX_MKLPDM1,Présentoir AQUA Dermo Soins,Gel douche Dermo-Nettoyant BIO 1L Aqua
HX_MKLPSTDM,Stop rayon Aqua,Baume à lèvres au karité Bio
