reference|nom|prix_ttc|base_lppr|code_lppr|categorie|badges|image_url|description|points_forts|expert|specs|documents|recommande
HX_BDMZ5301|Sparadrap 3M™ Micropore™ sans dévidoir|67.37||||||"""""Boîte de 50.MaxZero est une valve bidirectionnelle à déplacement positif, destinée au prélèvement, à l'injection et à la perfusion de médicaments.  Elle permet un débit de 143 ml/min, présente une volume résiduel à 0,19 ml et est compatible avec les raccords Luer Lock. Son utilisation est recommandée pour un maximum de 200 manipulations ou jusqu'à une semaine."""""|||||
HX_BDMZ9283|Seringue Discardit II BD 2 ml|428.63||||||"""""Prolongateur 4 voies, 4 valves anti-retour, et 4 clamps coulissants. Longueur : 18 cm. Diamètre interne : 1. Volume mort : 1,5 mL. Débit : 40,3 mL/mn. Boîte de 50.Prolongateur multivoies avec valve bidirectionnelle à déplacement positif pour accès intraveineux.  """""|||||
HX_IBS3401079348692|Crème Ialuset plus - Tube 100g|13.25||||||"""""Tube de 100 g.Description : La crème est destinée à une application cutanée. Elle se présente sous la forme d’un produit inodore, de couleur blanche à ivoire, conditionné dans un tube en aluminium muni d’un opercule.Indications : • Cicatrisation des plaies infectées. • Traitement des brûlures. • Affections dermatologiques d’origine bactérienne ou présentant un risque de surinfection.Précautions d’emploi : • Durée maximale du traitement : 1 mois. • Respecter les protocoles de nettoyage et de désinfection des plaies et brûlures avant application. • L’association avec une détersion enzymatique n’a pas été évaluée. • Éviter l’exposition des zones traitées à une lumière intense (risque de photosensibilisation). Une coloration passagère de la plaie peut survenir et disparaît après lavage."""""|||||
HX_ID531026521002|ID Form Extra long - 31 x 64 cm|6.81|||||||||||
HX_SICA26632|Anti-parasites Derm'Alpes King 250 ml|5.84||||||"""""Aérosol 250 ml. Cartons de 12.Insecticide acaricide à haute performance.Agit rapidement sur divers parasites : • Sarcopte de la gale. • Punaises de lit, à tous les stades de développement. • Acariens de la poussière. Son action est immédiate et peut durer jusqu’à 4 semaines selon le type de parasite ciblé.Destiné au traitement des surfaces textiles :  • Tissus, contours de lit, moquettes, revêtements divers. • Ne tâche pas. • Ne dégrade pas les surfaces traitées. • Un aérosol de 250 ml couvre environ 4 m².Lieux d'utilisation : • Établissements scolaires. • Hôpitaux. • Hôtels et gîtes. • Centres d’accueil. • Espaces publics.Mode d'emploi : • Dosage : 30 secondes de pulvérisation par m² (soit 37,5 g/m²). • Pulvériser à environ 30 cm de la surface. • Laisser sécher complètement pendant au moins 1 heure. • Aérer la pièce durant 1 heure après application. • Aspirer les surfaces pour éliminer les allergènes résiduels.Précautions d'emploi : • Pour les personnes asthmatiques, il est conseillé de quitter la pièce durant et après l’application. • Tester le produit au préalable sur un tissu blanc."""""|||||
HX_HOL527184|Adaptateur secteur pour tensiometre|13.2|||||||||||
HX_BED101NT0109020021|Draps housse 90x200 Gris Dermofresh|21.71||||||"""""Dim. : 90 x 200 cm. Coloris : gris.Drap-housse imperméable Standard Dermofresh Dim. : 90x200. Couleur : Gris.  Drap-housse et protège-matelas imperméable en même temps respirant, thermorégulateur, bi-élastique, anti-acariens. Idéal pour les petites incontinences, les problèmes de transpiration, les allergies modérées et les peaux sensibles."""""|||||
HX_BED101NT0108020021|Draps housse 80x200 Blanc Dermofresh|19.98||||||"""""Drap-housse imperméable Standard Dermofresh Dim. : 80x200. Couleur : Gris.  Drap-housse et protège-matelas imperméable en même temps respirant, thermorégulateur, bi-élastique, anti-acariens. Idéal pour les petites incontinences, les problèmes de transpiration, les allergies modérées et les peaux sensibles."""""|||||
HX_SWAM4IGMDR|Manche de bistouri en acier inoxydable n°4 MDR|7.69||||||"""""L'unité.Manche de bistouri en acier inoxydable n°4 MDRLe manche de bistouri N°4 Swann-Morton est la référence des manches de bistouri et s'adapte aux lames de bistouri jetables N°18, 19, 20, 21, 22, 23, 24, 25, 26, 27 et 36. Particulièrement réputé pour sa robustesse et sa facilité de prise en main, il est très facilement décontaminable par immersion et stérilisable en autoclave. Vous pouvez donc le réutiliser autant de fois que vous le souhaitez. Longueur 13 cm, manche en acier inoxydable.  Comment fixer une lame de bistouri sur le manche de bistouri n°4 Swann - Morton ? Ne saisissez jamais une lame de bistouri à la main pour éviter tout risque de coupure. Utilisez plutôt une pince ou tout autre appareil vous assurant une bonne préhension. Maintenez le manche de bistouri avec votre main libre en vous assurant que la monture de la lame soit orientée vers le haut. Positionnez l'ouverture de la lame sur l'embout du manche et engagez les rainures Une fois la lame en position, vous entendrez un bruit de cliquetis indiquant la bonne manoeuvre. Comment enlever une lame de bistouri ? Il suffit tout simplement de reprendre les étapes ci-dessus à l'envers, en faisant bien attention de tenir la lame usagée grâce à une pince ou à un extracteur de lames. Ce que vous achetez : un manche"""""|||||
HX_SWAM3IGMDR|Manche de bistouri en acier inoxydable n°3 MDR|7.69||||||"""""12 cm. Manche de bistouri en acier  inoxydable n°3 MDR Finition microbillée afin d'éliminer les aspérités et d'optimiser la decontamination.  Les manches résistent à la stérilisation à l’autoclave à 134°C pendant 30 mn.  Ils sont lavables en machines standard ou à ultrasons, trempables dans un bain décontaminant, résistants à un bain de soude à 20°C pendant 1 heure, stérilisables en chaleur sèche ou humide. Au lavage, à disposer avec l’embout en l’air pour éviter d’abîmer la zone de fixation de la lame. Embout étroit type 3. Manche de 12 cm.  Compatibilité : Taille de lame adaptée en gamme Standards : n°6 à 16 Taille de lame adaptée en gamme Spéciales : n°40 – E/11 – lame LSTC – lame SG.  Vendu à l'unité mais disponible par boite de 10."""""|||||
HX_BED101NT0114020021|Draps housse 140X200 Blanc Dermofresh|28.77||||||"""""Drap-housse imperméable Standard Dermofresh Dim. : 140x200. Couleur : Gris.  Drap-housse et protège-matelas imperméable en même temps respirant, thermorégulateur, bi-élastique, anti-acariens. Idéal pour les petites incontinences, les problèmes de transpiration, les allergies modérées et les peaux sensibles."""""|||||
HX_BED101NT0112020021|Draps housse 120x200 Blanc Dermofresh|26.24||||||"""""Drap-housse imperméable Standard Dermofresh Dim. : 120x200. Couleur : Gris.  Drap-housse et protège-matelas imperméable en même temps respirant, thermorégulateur, bi-élastique, anti-acariens. Idéal pour les petites incontinences, les problèmes de transpiration, les allergies modérées et les peaux sensibles."""""|||||
HX_KELM06064|Poche préconnectée Pahsco - Silicone CH 20|7.13||||||"""""Poche préconnectée Pahsco - Silicone CH 20 Poche stérile à système clos avec sonde de Foley droite 100% silicone. Avec site de prélèvement sans aiguille. CH 12. 2 L.  Valve anti-retour. Robinet. Filtre. Double crochet. Clamp. Pince à drap. Ce que vous achetez : une unité. Disponible à la boite de 20. """""|||||
HX_KELM06061|Poche préconnectée Pahsco - Silicone CH 14|7.13||||||"""""Poche préconnectée Pahsco - Silicone CH 14 Poche stérile à système clos avec sonde de Foley droite 100% silicone. Avec site de prélèvement sans aiguille. CH 14. 2 L.  Valve anti-retour. Robinet. Filtre. Double crochet. Clamp. Pince à drap. Ce que vous achetez : une unité. Disponible à la boite de 20. """""|||||
HX_KELM06059|Poche préconnectée Pahsco - Silicone CH 12|7.13||||||"""""Poche pr&eacute$$connect&eacute$$e Pahsco - Silicone CH 12 Poche st&eacute$$rile &agrave$$ syst&egrave$$me clos avec sonde de Foley droite 100% silicone. Avec site de pr&eacute$$l&egrave$$vement sans aiguille. CH 12. 2 L.  Valve anti-retour. Robinet. Filtre. Double crochet. Clamp. Pince &agrave$$ drap. Ce que vous achetez : une unit&eacute$$. Disponible &agrave$$ la boite de 20. """""|||||
HX_KEL11214100402|Sonde rectale CH 22 7,3 mm stérile|0.42||||||"""""Sonde rectale CH 22 7,3 mm stérile Transparente pour assurer une visibilité totale pendant le drainage. Sonde rectale sans ballonnet en PVC sans latex, godet violet.  Ce que vous achetez : une sonde  """""|||||
HX_KEL01951071|Sonde d'aspiration trachéo-bronchique Bicakcilar biseautée 2 oeils  CH 18 6 mm rouge|0.21||||||"""""Sonde d'aspiration trachéo-bronchique Bicakcilar biseautée 2 oeils CH 18 6 mm rouge  Glisse parfaite sans altération des muqueuses.  La sonde d'aspiration trachéo-bronchique à usage unique permet l'élimination par aspiration des sécrétions, aliments ou autres liquides encombrant le pharynx et les voies aériennes. Elle sert au désencombrement bronchique et des voies aériennes en général.  Sonde d'aspiration trachéo-bronchique.  Connecteur moulé et pointe bisautée.  Mode de stérilisation du dispositif : oxyde d'éthylène.  100% PVC, sans latex.  A usage unique  Calibre identifiable par le code couleur du godet.  Existe en calibre CH 6, CH 8, CH 12, CH 14, CH 16 et CH 18.  Longueur : 50 cm. Ce que vous achetez : une sonde"""""|||||
HX_KELM06063|Poche préconnectée Pahsco - Silicone CH 18|7.13||||||"""""Poche préconnectée Pahsco - Silicone CH 18 Poche stérile à système clos avec sonde de Foley droite 100% silicone. Avec site de prélèvement sans aiguille. CH 18. 2 L.  Valve anti-retour. Robinet. Filtre. Double crochet. Clamp. Pince à drap. Ce que vous achetez : une unité. Disponible à la boite de 20. """""|||||
HX_KELM06062|Poche préconnectée Pahsco - Silicone CH 16|7.13||||||"""""Poche préconnectée Pahsco - Silicone CH 16 Poche stérile à système clos avec sonde de Foley droite 100% silicone. Avec site de prélèvement sans aiguille. CH 16. 2 L.  Valve anti-retour. Robinet. Filtre. Double crochet. Clamp. Pince à drap. Ce que vous achetez : une unité. Disponible à la boite de 20. """""|||||
HX_SYNOSIRIS|Aiguilles hypodermiques - Noires - 22 G -|6004.4||||||"""""TVA de 5,5% pour la douche au lit.  TVA de 20% pour les 2 options : Bonde d aspiration et pince.Douche de lit Osiris Salle de bain mobile pour doucher un résident sans le déplacer de son lit : apporter du bien-être dans les hôpitaux, les Ehpad et tout établissement de santé. Une solution innovante pour les personnes alitées. Osiris permet de doucher une personne directement dans son lit sans déplacer la personne. Le temps d’un instant, les personnes alitées retrouvent le bonheur d’une vraie douche. Le temps d’un instant, les personnes alitées retrouvent le bonheur d’une vraie douche. La toilette est un moment crucial pour la dignité et le bien-être de la personne. L’entièreté du soin est administrée au sein même de la chambre du patient. La bâche est positionnée de la même manière que pour un changement de draps. Il n’est donc pas nécessaire d’utiliser un lève-personne. L’administration du soin au sein même de la chambre fait gagner un temps précieux au soignant. De plus, le nettoyage est rapide car l’eau est directement évacuée dans la salle de bain la plus proche. Il n’y a donc aucune cuve d’eau salle à vidanger et nettoyer à la fin de la douche. Nous avons intégré un système breveté qui désinfecte automatiquement les tuyaux. L’ensemble du processus (installation des accessoires, douche et rangement) se déroule dans l’intimité de la chambre du résident. Les manipulations, souvent douloureuses pendant les transferts, sont drastiquement diminuées. Les sensations d’eau qui coule, de chaleur et de bien-être d’une douche sont retrouvées. Le résident bénéficie d’un vrai moment de bien-être.https://www.youtube.com/watch?v=NCKA0l298UA Descriptions techniques :  Dimensions : Hauteur 105 cm. Diamètre 45 cm. Poids 41 kg.  Garantie 2 ans (hors casse). Conformité : Dispositif médical 93/43/CEE Classe I. Capacité eau : 24 litres. Câble alimentation électrique : 3,5 m.  5 roulettes pivotantes avec frein.   Comprend : Douche au lit OSIRIS + 1 housse de protection étanche + 1  draps de bain + 1filet de lavage + 1 bonde d'aspiration + 1 lot de 4  pinces de maintien housse Frais de port pour 1 OU 2 douches au lit :  170€ HT (PAS de Minimum de commandes) """""|||||
HX_RAF796100|Pansement absorbant non tissé 10x10cm|11.07||||||"""""10 x 10 cm. Sachet de 150. Pansement absorbant non tissé 10x10cm Dispositif destiné à être utilisé dans le cadre de réalisation de pansement Pansement absorbant destiné à être utilisé pour l’absorption d’exsudats / sang et le soin des plaies. Couleur : blanc.  Non stérile.  Dim. 10 x 10 cm.   Vendu par sachet de 150. """""|||||
HX_KEL514SUP05|Crochet pour poche à urine|39.56||||||"""""Crochet pour poche à urine Crochet en plastique avec 4 points d'ancrage pour la fixation de la poche à urine aux cadres  Réutilisable  Section du tube large : 9,0 mm de diamètre  Dimensions totales : 23,5 x 10,5 cm  Couleur : bleu.  Non stérile. Ce que vous achetez : la boite de 100. """""|||||
HX_RAF798190|Pansement absorbant non tissé 10x10cm stérile par 1 SE|28.42||||||"""""10 x 10 cm. Boite de 150.Pansement absorbant non tissé 10x10cm stérile par 1 SE Permet l’absorption d’écoulements émanant d’une plaie.  Destiné pour absorber une grande Destiné pour absorber une grande quantité d’exsudat et garder la plaie et la surface de la peau sèches. Couleur blanc.  Dim. : 10 x 10 cm. Stérile. Ce que vous achetez : une boite de 150 pansements."""""|||||
HX_HOLMDEIFF01|Mallette médicale Eiffel|45.05||||||"""""Grand sac médical Eiffel.Sac médical Eiffel, De Boissy Le sac grand volume chic et simple à la fois, facile à organiser. Chic et simple à la fois, le grand sac Eiffel rappelle la forme de la sacoche traditionnelle en cuir des médecins. Grâce à sa très grande ouverture bidirectionnelle et ses multiples poches/compartiments, il permet de ranger et d’atteindre facilement tout le matériel de soin et les instruments de diagnostic dont les professionnels de santé ont besoin. D’un gris chiné, le tissu polyester est résistant, durable, déperlant et donc lavable, il est accompagné d’une bande réfléchissante pour la sécurité, et de glissières YKK® pour leur qualité. L’espace principal intérieur grand volume comprend 8 poches, 2 séparateurs amovibles velcro, 1 pochette filet zippée. Avec une très grande ouverture à zip bidirectionnel, il donne accès très facilement aux instruments de diagnostic et matériel de soin Une poche ventrale (40x20 cm) s’ouvre complétement avec d’un côté 2 filets de rangements zippés et 2 poches plates, et sur l’autre face plusieurs boucles élastiques qui permettent de ranger les petites fournitures de soins : pinces, ciseaux, lampe-stylo, thermomètre, bandages, stylos, etc… Quatre poches externes zippées dont une pour les documents A4 et une autre sur le côté avec élastique pour y glisser la bouteille de gel hydroalcoolique qui reste accessible facilement et à tout moment Des poignées rembourrées et solides, une bandoulière rembourrée et réglable.  Un porte-nom pour bien identifier le sac. Un fond antidérapant pour réduire le frottement et l’usure Dimensions l x h x p : 40 x 35 x 24 cm Poids : 1,3 kg Contenu maximal recommandé : 6 kg / 24 litres Vendu vide """""|||||
HX_BSN7296202|Bande adhésive élastique Tenso Club 2,5 m x 8 cm|4.48||||||"""""Rouleau de 2,5 m x 8 cmBande adhésive élastique Tenso Club 2,5 m x 8 cm 100 % coton : excellente tolérance. Pour toutes contentions adhésives souples ou strapping en pathologie articulaire, tendineuse, musculaire et ligamentaire Indications :   Compression en traumatologie musculaire  Traitement élasto-compressif en phlébologie  Fixation de pansements  Fixation d’attelles  Caractéristiques :  100 % coton : excellente tolérance  Lisières tissées : absence de fils flottants  Masse adhésive sans latex  Adhésivité immédiate et prolongée  Élasticité longitudinale nominale de 50 %  Effet de rappel élastique  Grande résistance aux contraintes de force  Élément protecteur gaufré : contrôle de la tension lors de la pose  Aérée par stries $$ évite la macération  Assure le maintien tout en évitant l’immobilisation complète du patient Ce que vous achetez :  une boîte contenant une bande.    """""|||||
HX_BSN7296201|Bande adhésive élastique Tenso Club 2,5 m x 6 cm|3.73||||||"""""Rouleau de 2,5 m x 6 cmBande adhésive élastique Tenso Club 2,5 m x 6 cm 100 % coton : excellente tolérance. Pour toutes contentions adhésives souples ou strapping en pathologie articulaire, tendineuse, musculaire et ligamentaire Indications :   Compression en traumatologie musculaire  Traitement élasto-compressif en phlébologie  Fixation de pansements  Fixation d’attelles  Caractéristiques :  100 % coton : excellente tolérance  Lisières tissées : absence de fils flottants  Masse adhésive sans latex  Adhésivité immédiate et prolongée  Élasticité longitudinale nominale de 50 %  Effet de rappel élastique  Grande résistance aux contraintes de force  Élément protecteur gaufré : contrôle de la tension lors de la pose  Aérée par stries $$ évite la macération  Assure le maintien tout en évitant l’immobilisation complète du patient Ce que vous achetez :  une boîte contenant une bande.    """""|||||
HX_BSN7296200|Bande adhésive élastique Tenso Club 2,5 m x 3 cm|2.55||||||"""""Rouleau de 2,5 m x 3 cmBande adhésive élastique Tenso Club 2,5 m x 3 cm 100 % coton : excellente tolérance. Pour toutes contentions adhésives souples ou strapping en pathologie articulaire, tendineuse, musculaire et ligamentaire Indications :   Compression en traumatologie musculaire  Traitement élasto-compressif en phlébologie  Fixation de pansements  Fixation d’attelles  Caractéristiques :  100 % coton : excellente tolérance  Lisières tissées : absence de fils flottants  Masse adhésive sans latex  Adhésivité immédiate et prolongée  Élasticité longitudinale nominale de 50 %  Effet de rappel élastique  Grande résistance aux contraintes de force  Élément protecteur gaufré : contrôle de la tension lors de la pose  Aérée par stries $$ évite la macération  Assure le maintien tout en évitant l’immobilisation complète du patient Ce que vous achetez :  une boîte contenant une bande.    """""|||||
HX_BSN7205075|Bande adhésive élastique Tensoplast HBC (Chair) 2,5 m x 10 cm|6.25||||||"""""Rouleau de 2,5 m x 10 cm. Couleur chair.Bande adhésive élastique Tensoplast HBC Chair 2,5 m x 10 cm  100 % coton : haute tolérance. Pour tous les types d'entorses et tous les types de sports. Constituée d'un tissu de coton, enduite sous forme de stries longitudinales d'une masse adhésive de haute tolérance cutanée, à base de caoutchouc et de résine synthétiques. La masse adhésive est protégée par un film polyéthylène gaufré sur toute sa longueur. La bande est enroulée sur un tube plastique. Indications :   Contentions souples adhésives en pathologie articulaire, tendineuse et musculaire,  Traitement élasto-compressif en phlébologie,  Maintien de tous pansements,  Compression en traumatologie musculaire.  Caractéristiques :  Lisières tissées : absence de fil flottant,  Masse adhésive sans latex : adhésivité immédiate et prolongée,  Élasticité longitudinale de 50 % : effet de rappel élastique,  Grande résistance aux contraintes de force,  Élément protecteur gaufré : contrôle de la tension lors de la pose,  Aérée par stries : évite la macération. Ce que vous achetez :  une boîte contenant une bande.   """""|||||
HX_BSN7205074|Bande adhésive élastique Tensoplast HBC (Chair) 2,5 m x 8 cm|5.18||||||"""""Rouleau de 2,5 m x 8 cm. Couleur chair. Bande adhésive élastique Tensoplast HBC Chair 2,5 m x 8 cm  100 % coton : haute tolérance. Pour tous les types d'entorses et tous les types de sports. Constituée d'un tissu de coton, enduite sous forme de stries longitudinales d'une masse adhésive de haute tolérance cutanée, à base de caoutchouc et de résine synthétiques. La masse adhésive est protégée par un film polyéthylène gaufré sur toute sa longueur. La bande est enroulée sur un tube plastique. Indications :   Contentions souples adhésives en pathologie articulaire, tendineuse et musculaire,  Traitement élasto-compressif en phlébologie,  Maintien de tous pansements,  Compression en traumatologie musculaire.  Caractéristiques :  Lisières tissées : absence de fil flottant,  Masse adhésive sans latex : adhésivité immédiate et prolongée,  Élasticité longitudinale de 50 % : effet de rappel élastique,  Grande résistance aux contraintes de force,  Élément protecteur gaufré : contrôle de la tension lors de la pose,  Aérée par stries : évite la macération. Ce que vous achetez :  une boîte contenant une bande.   """""|||||
HX_BD303262|Aiguille Hypodermique rose boîtes de 100|3.29||||||"""""Aiguille Hypodermique Becton Dickinson. Rose 18 G 1,25 x 40 mm. Bo&icirc$$tes de 100  Aiguille Hypodermique Microlance 3 BD Rose 1,25 x 40 Bo&icirc$$tes de 100    """""|||||
HX_CONNWCAPCAPRPOLYBMAMM|Cape de pluie Capri|64.12||||||"""""Cape de pluie CAPRI Cape de pluie imperméable, facile à enfiler au design léger et tendance ! Réversible, la cape CAPRI vous protège des intempéries en toutes circonstances. Facile à porter et à transporter, elle vous garde au sec sans vous tenir chaud ! Une cape réversible : un côté plus long pour être couvert jusqu'aux chevilles en position assise, un autre plus court pour un tombé aux genoux. Une matière légère et imperméable. Une capuche amovible pour changer le sens de la cape. Des cordons élastiques qui se resserent en bas de la cape pour limiter le passage de l'air et au niveau du buste pour un style plus féminin. Taille unique. Couleur : Marine Matière : 100% polyamide - enduction polyuréthane Ce que vous achetez : une cape de pluie."""""|||||
HX_ART02044021030010|Microperfuseur Mirage vert 21 G|10.86||||||"""""Boite de 100. Ancienne ref. ART03044021030010. Microperfuseur Mirage vert 21 G Boite de 100. Ancienne ref. ART03044021030010. Microperfuseur épicranien à ailettes pour un accès veineux rapide et sans douleur. Avec aiguille triple affilage et traitement silicone antifriction. Avec ailettes, tubulure et connexion Luer Lock à ailettes souples. Le microperfuseur PIC Mirage constitue la référence en matière de dispositif épicranien de type butterfly. - Tubulure souple, longueur 30mm. - Longueur aiguille 20mm. - Cône rigide Luer Lock. - Sans latex. - Sans phtalate. Peut s'utiliser avec les adaptateurs à prélèvements. Disponible dans 6 tailles standard. Autres caractéristiques : Emballage individuel stérile, stérilisation oxyde d'éthylène. Validité 5 ans. Fabrication européenne Matériel médical CE."""""|||||
HX_BSN7297822|Bande adhésive élastique Leukotape K Bleu 5 m x 7,5 cm|13.75||||||"""""Rouleau de 5 m x 7,5 cm. Couleur bleu.Bande adhésive élastique Leukotape K Bleu 5 m x 7,5 cm  Bande adhésive élastique adhésive destinée à être collée directement sur la peau selon la technique Leukotaping pour soulager les douleurs musculaires selon l'approche du Taping Neuro-proprioceptif (TNP), méthode Kenzo Kase. Principe de fonctionnement : le corps humain comporte un grand nombre de capteurs sensoriels transmettant divers messages au cerveau, notamment la douleur, la chaleur. Leukotape K, stimule ces capteurs et améliore ainsi la proprioception, influençant du même coup la sensation de douleur. Indications :   Influencer la sensation de douleur, notamment les douleurs musculaires tels que luxation, distorsion.  Influencer la proprioception notamment les douleurs telles que les contusions.  Influencer le drainage lymphatique. Caractéristiques :  Bande très conformable, n’entravant pas le mouvement,  Améliore les gestes du quotidien tout autant que les gestes sportifs,  Permet à la peau de respirer : l'humidité et l'air sont évacués au travers du tissu,  Masse adhésive : stimule les capteurs sensoriels de la peau, accélérant la proprioception,  Adhésivité et maintien assurés pendant et après la douche : reste en plave jusqu'à 9 jours,  Existe en 6 coloris,  Support en coton, formulé sans latex et sans phtalates : bonne tolérance cutanée. Ce que vous achetez :  une boîte contenant une bande.   """""|||||
HX_BSN7297816|Bande adhésive élastique Leukotape K Rouge 5 m x 5 cm|8.99||||||"""""Rouleau de 5 m x 5 cm. Couleur rouge.Bande adhésive élastique Leukotape K Rouge 5 m x 5 cm  Bande adhésive élastique adhésive destinée à être collée directement sur la peau selon la technique Leukotaping pour soulager les douleurs musculaires selon l'approche du Taping Neuro-proprioceptif (TNP), méthode Kenzo Kase. Principe de fonctionnement : le corps humain comporte un grand nombre de capteurs sensoriels transmettant divers messages au cerveau, notamment la douleur, la chaleur. Leukotape K, stimule ces capteurs et améliore ainsi la proprioception, influençant du même coup la sensation de douleur. Indications :   Influencer la sensation de douleur, notamment les douleurs musculaires tels que luxation, distorsion.  Influencer la proprioception notamment les douleurs telles que les contusions.  Influencer le drainage lymphatique. Caractéristiques :  Bande très conformable, n’entravant pas le mouvement,  Améliore les gestes du quotidien tout autant que les gestes sportifs,  Permet à la peau de respirer : l'humidité et l'air sont évacués au travers du tissu,  Masse adhésive : stimule les capteurs sensoriels de la peau, accélérant la proprioception,  Adhésivité et maintien assurés pendant et après la douche : reste en plave jusqu'à 9 jours,  Existe en 6 coloris,  Support en coton, formulé sans latex et sans phtalates : bonne tolérance cutanée. Ce que vous achetez :  une boîte contenant une bande.   """""|||||
HX_BSN7297810|Bande adhésive élastique Leukotape K Chair 5 m x 2,5 cm|5.73||||||"""""Rouleau de 5 m x 2,5 cm. Couleur chair.Bande adhésive élastique Leukotape K Chair 5 m x 2,5 cm  Bande adhésive élastique adhésive destinée à être collée directement sur la peau selon la technique Leukotaping pour soulager les douleurs musculaires selon l'approche du Taping Neuro-proprioceptif (TNP), méthode Kenzo Kase. Principe de fonctionnement : le corps humain comporte un grand nombre de capteurs sensoriels transmettant divers messages au cerveau, notamment la douleur, la chaleur. Leukotape K, stimule ces capteurs et améliore ainsi la proprioception, influençant du même coup la sensation de douleur. Indications :   Influencer la sensation de douleur, notamment les douleurs musculaires tels que luxation, distorsion.  Influencer la proprioception notamment les douleurs telles que les contusions.  Influencer le drainage lymphatique. Caractéristiques :  Bande très conformable, n’entravant pas le mouvement,  Améliore les gestes du quotidien tout autant que les gestes sportifs,  Permet à la peau de respirer : l'humidité et l'air sont évacués au travers du tissu,  Masse adhésive : stimule les capteurs sensoriels de la peau, accélérant la proprioception,  Adhésivité et maintien assurés pendant et après la douche : reste en plave jusqu'à 9 jours,  Existe en 6 coloris,  Support en coton, formulé sans latex et sans phtalates : bonne tolérance cutanée. Ce que vous achetez :  une boîte contenant une bande.   """""|||||
HX_BSN0238100|Leukotape classic Bande adhésive non-élastique Noir 10 m x 3,75 cm|73.58||||||"""""Rouleau de 10 x 3,75 cm. Noir.Bande adhésive non-élastique Leukotape classic Noir 10 m x 3,75 cm Pouvoir adhésif ++. Spécial Foot, Basket et Handball. Bande adhésive non élastique constituée d’un support tissé de coton enduit d’une masse adhésive de caoutchouc naturel et synthétique. Indications :   Traitement et prévention des lésions musculaires, ligamentaires et articulaires.  Caractéristiques :  Pouvoir adhésif élevé.  Support inélastique.  Facilement sécable à la main dans les deux sens : mise en place rapide.   Support tissé 100% coton avec agent déperlant : empêche l'humidité de pénétrer dans la contention, haute tenue.   Bande enroulée sur un moyeu plastique facilitant le déroulement,  Existe en 6 couleurs (couleur équipement) : respect des impératifs terrain et de la règlementation FFF. Ce que vous achetez :  La boite de 12 rouleaux  """""|||||
HX_BSN0931700|Bande adhésive non-élastique Leukotape classic Rouge 10 m x 3,75 cm|6.13||||||"""""Rouleau de 10 x 3,75 cm. Rouge.Bande adhésive non-élastique Leukotape classic Rouge 10 m x 3,75 cm Pouvoir adhésif ++. Spécial Foot, Basket et Handball. Bande adhésive non élastique constituée d’un support tissé de coton enduit d’une masse adhésive de caoutchouc naturel et synthétique. Indications :   Traitement et prévention des lésions musculaires, ligamentaires et articulaires.  Caractéristiques :  Pouvoir adhésif élevé.  Support inélastique.  Facilement sécable à la main dans les deux sens : mise en place rapide.   Support tissé 100% coton avec agent déperlant : empêche l'humidité de pénétrer dans la contention, haute tenue.   Bande enroulée sur un moyeu plastique facilitant le déroulement,  Existe en 6 couleurs (couleur équipement) : respect des impératifs terrain et de la règlementation FFF. Ce que vous achetez :  une boîte contenant une bande.   """""|||||
HX_BSN4710900|Bande adhésive non-élastique Leukotape classic Blanc 10 m x 3,75 cm|5.13||||||"""""Rouleau de 10 x 3,75 cm. Blanc.Bande adhésive non-élastique Leukotape classic Blanc 10 m x 3,75 cm Pouvoir adhésif ++. Spécial Foot, Basket et Handball. Bande adhésive non élastique constituée d’un support tissé de coton enduit d’une masse adhésive de caoutchouc naturel et synthétique. Indications :   Traitement et prévention des lésions musculaires, ligamentaires et articulaires.  Caractéristiques :  Pouvoir adhésif élevé.  Support inélastique.  Facilement sécable à la main dans les deux sens : mise en place rapide.   Support tissé 100% coton avec agent déperlant : empêche l'humidité de pénétrer dans la contention, haute tenue.   Bande enroulée sur un moyeu plastique facilitant le déroulement,  Existe en 6 couleurs (couleur équipement) : respect des impératifs terrain et de la règlementation FFF. Ce que vous achetez :  une boîte contenant une bande.   """""|||||
HX_BSN7149000|Strappal Bande adhésive non élastique  10 m x 4 cm|89.68||||||"""""Carton de 24 rouleaux. Bande adhésive non élastique Strappal 10 m x 4 cm Carton de 24 bandes. Pouvoir adhésif +++.  Bande constituée d'un support en fibranne rigide enduit sur une seule face d'une masse adhésive à l'oxyde de zinc, exempte de caoutchouc naturel, préparée en vue d'adhérer sur la peau par simple pression. La bande se présente bobinée sur un tube carton imprimé. Indications :   Contention articulaire rigide,  Traumatologie sportive (entorse...),  Orthopédie (luxation congénitale de hanche...),  Tractions adhésives continues.  Caractéristiques :Pouvoir adhésif élevé,  Sécable à la main  Support inélastique, apporte un soutien,  Découpe à bords dentelés : évite les fils flottants,  Tension de déroulement continue,  Examen radiologique possible sans retrait de la bande,  Stérilisation non recommandée,  Formule sans latex, sans phtalates. Ce que vous achetez :  un carton de 24 bandes  """""|||||
